,date,county,cases,deaths,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
0,2020-02-01,2020-02-01,1,0,1.0,1.0,1.0,1.0,1.0,1.0
1,2020-02-02,2020-02-02,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2,2020-02-03,2020-02-03,1,0,1.0,1.0,1.0,1.0,1.0,1.0
3,2020-02-04,2020-02-04,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4,2020-02-05,2020-02-05,1,0,1.0,1.0,1.0,1.0,1.0,1.0
5,2020-02-06,2020-02-06,1,0,1.0,1.0,1.0,1.0,1.0,1.0
6,2020-02-07,2020-02-07,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7,2020-02-08,2020-02-08,1,0,1.0,1.0,1.0,1.0,1.0,1.0
8,2020-02-09,2020-02-09,1,0,1.0,1.0,1.0,1.0,1.0,1.0
9,2020-02-10,2020-02-10,1,0,1.0,1.0,1.0,1.0,1.0,1.0
10,2020-02-11,2020-02-11,1,0,1.0,1.0,1.0,1.0,1.0,1.0
11,2020-02-12,2020-02-12,1,0,1.0,1.0,1.0,1.0,1.0,1.0
12,2020-02-13,2020-02-13,1,0,1.0,1.0,1.0,1.0,1.0,1.0
13,2020-02-14,2020-02-14,1,0,1.0,1.0,1.0,1.0,1.0,1.0
14,2020-02-15,2020-02-15,1,0,1.0,1.0,1.0,1.0,1.0,1.0
15,2020-02-16,2020-02-16,1,0,1.0,1.0,1.0,1.0,1.0,1.0
16,2020-02-17,2020-02-17,1,0,1.0,1.0,1.0,1.0,1.0,1.0
17,2020-02-18,2020-02-18,1,0,1.0,1.0,1.0,1.0,1.0,1.0
18,2020-02-19,2020-02-19,1,0,1.0,1.0,1.0,1.0,1.0,1.0
19,2020-02-20,2020-02-20,1,0,1.0,1.0,1.0,1.0,1.0,1.0
20,2020-02-21,2020-02-21,1,0,1.0,1.0,1.0,1.0,1.0,1.0
21,2020-02-22,2020-02-22,1,0,1.0,1.0,1.0,1.0,1.0,1.0
22,2020-02-23,2020-02-23,1,0,1.0,1.0,1.0,1.0,1.0,1.0
23,2020-02-24,2020-02-24,1,0,1.0,1.0,1.0,1.0,1.0,1.0
24,2020-02-25,2020-02-25,1,0,1.0,1.0,1.0,1.0,1.0,1.0
25,2020-02-26,2020-02-26,1,0,1.0,1.0,1.0,1.0,1.0,1.0
26,2020-02-27,2020-02-27,1,0,1.0,1.0,1.0,1.0,1.0,1.0
27,2020-02-28,2020-02-28,1,0,1.0,1.0,1.0,1.0,1.0,1.0
28,2020-02-29,2020-02-29,1,0,1.0,1.0,1.0,1.0,1.0,1.0
29,2020-03-01,2020-03-01,1,0,1.0,1.0,1.0,1.0,1.0,1.0
30,2020-03-02,2020-03-02,1,0,1.0,1.0,1.0,1.0,1.0,1.0
31,2020-03-02,2020-03-02,1,0,1.0,1.0,1.0,1.0,1.0,1.0
32,2020-03-03,2020-03-03,1,0,1.0,1.0,1.0,1.0,1.0,1.0
33,2020-03-03,2020-03-03,1,0,1.0,1.0,1.0,1.0,1.0,1.0
34,2020-03-04,2020-03-04,1,0,1.0,1.0,1.0,1.0,1.0,1.0
35,2020-03-04,2020-03-04,1,0,1.0,1.0,1.0,1.0,1.0,1.0
36,2020-03-05,2020-03-05,1,0,1.0,1.0,1.0,1.0,1.0,1.0
37,2020-03-05,2020-03-05,1,0,1.0,1.0,1.0,1.0,1.0,1.0
38,2020-03-05,2020-03-05,1,0,1.0,1.0,1.0,1.0,1.0,1.0
39,2020-03-06,2020-03-06,1,0,1.0,1.0,1.0,1.0,1.0,1.0
40,2020-03-06,2020-03-06,3,0,3.0,3.0,3.0,3.0,3.0,3.0
41,2020-03-06,2020-03-06,4,0,4.0,4.0,4.0,4.0,4.0,4.0
42,2020-03-07,2020-03-07,1,0,1.0,1.0,1.0,1.0,1.0,1.0
43,2020-03-07,2020-03-07,5,0,5.0,5.0,5.0,5.0,5.0,5.0
44,2020-03-07,2020-03-07,3,0,3.0,3.0,3.0,3.0,3.0,3.0
45,2020-03-07,2020-03-07,4,0,4.0,4.0,4.0,4.0,4.0,4.0
46,2020-03-08,2020-03-08,1,0,1.0,1.0,1.0,1.0,1.0,1.0
47,2020-03-08,2020-03-08,10,0,10.0,10.0,10.0,10.0,10.0,10.0
48,2020-03-08,2020-03-08,7,0,7.0,7.0,7.0,7.0,7.0,7.0
49,2020-03-08,2020-03-08,9,0,9.0,9.0,9.0,9.0,9.0,9.0
50,2020-03-08,2020-03-08,1,0,1.0,1.0,1.0,1.0,1.0,1.0
51,2020-03-09,2020-03-09,5,0,5.0,5.0,5.0,5.0,5.0,5.0
52,2020-03-09,2020-03-09,15,0,15.0,15.0,15.0,15.0,15.0,15.0
53,2020-03-09,2020-03-09,10,0,10.0,10.0,10.0,10.0,10.0,10.0
54,2020-03-09,2020-03-09,10,0,10.0,10.0,10.0,10.0,10.0,10.0
55,2020-03-09,2020-03-09,1,0,1.0,1.0,1.0,1.0,1.0,1.0
56,2020-03-10,2020-03-10,7,0,7.0,7.0,7.0,7.0,7.0,7.0
57,2020-03-10,2020-03-10,1,0,1.0,1.0,1.0,1.0,1.0,1.0
58,2020-03-10,2020-03-10,41,0,41.0,41.0,41.0,41.0,41.0,41.0
59,2020-03-10,2020-03-10,22,0,22.0,22.0,22.0,22.0,22.0,22.0
60,2020-03-10,2020-03-10,20,0,20.0,20.0,20.0,20.0,20.0,20.0
61,2020-03-10,2020-03-10,1,0,1.0,1.0,1.0,1.0,1.0,1.0
62,2020-03-11,2020-03-11,9,0,9.0,9.0,9.0,9.0,9.0,9.0
63,2020-03-11,2020-03-11,1,0,1.0,1.0,1.0,1.0,1.0,1.0
64,2020-03-11,2020-03-11,41,0,41.0,41.0,41.0,41.0,41.0,41.0
65,2020-03-11,2020-03-11,22,0,22.0,22.0,22.0,22.0,22.0,22.0
66,2020-03-11,2020-03-11,20,0,20.0,20.0,20.0,20.0,20.0,20.0
67,2020-03-11,2020-03-11,2,0,2.0,2.0,2.0,2.0,2.0,2.0
68,2020-03-12,2020-03-12,9,0,9.0,9.0,9.0,9.0,9.0,9.0
69,2020-03-12,2020-03-12,2,0,2.0,2.0,2.0,2.0,2.0,2.0
70,2020-03-12,2020-03-12,49,0,49.0,49.0,49.0,49.0,49.0,49.0
71,2020-03-12,2020-03-12,24,0,24.0,24.0,24.0,24.0,24.0,24.0
72,2020-03-12,2020-03-12,22,0,22.0,22.0,22.0,22.0,22.0,22.0
73,2020-03-12,2020-03-12,2,0,2.0,2.0,2.0,2.0,2.0,2.0
74,2020-03-13,2020-03-13,9,0,9.0,9.0,9.0,9.0,9.0,9.0
75,2020-03-13,2020-03-13,2,0,2.0,2.0,2.0,2.0,2.0,2.0
76,2020-03-13,2020-03-13,60,0,60.0,60.0,60.0,60.0,60.0,60.0
77,2020-03-13,2020-03-13,24,0,24.0,24.0,24.0,24.0,24.0,24.0
78,2020-03-13,2020-03-13,26,0,26.0,26.0,26.0,26.0,26.0,26.0
79,2020-03-13,2020-03-13,2,0,2.0,2.0,2.0,2.0,2.0,2.0
80,2020-03-14,2020-03-14,1,0,1.0,1.0,1.0,1.0,1.0,1.0
81,2020-03-14,2020-03-14,9,0,9.0,9.0,9.0,9.0,9.0,9.0
82,2020-03-14,2020-03-14,1,0,1.0,1.0,1.0,1.0,1.0,1.0
83,2020-03-14,2020-03-14,5,0,5.0,5.0,5.0,5.0,5.0,5.0
84,2020-03-14,2020-03-14,65,0,65.0,65.0,65.0,65.0,65.0,65.0
85,2020-03-14,2020-03-14,28,0,28.0,28.0,28.0,28.0,28.0,28.0
86,2020-03-14,2020-03-14,27,0,27.0,27.0,27.0,27.0,27.0,27.0
87,2020-03-14,2020-03-14,2,0,2.0,2.0,2.0,2.0,2.0,2.0
88,2020-03-15,2020-03-15,1,0,1.0,1.0,1.0,1.0,1.0,1.0
89,2020-03-15,2020-03-15,9,0,9.0,9.0,9.0,9.0,9.0,9.0
90,2020-03-15,2020-03-15,1,0,1.0,1.0,1.0,1.0,1.0,1.0
91,2020-03-15,2020-03-15,6,0,6.0,6.0,6.0,6.0,6.0,6.0
92,2020-03-15,2020-03-15,1,0,1.0,1.0,1.0,1.0,1.0,1.0
93,2020-03-15,2020-03-15,75,0,75.0,75.0,75.0,75.0,75.0,75.0
94,2020-03-15,2020-03-15,31,0,31.0,31.0,31.0,31.0,31.0,31.0
95,2020-03-15,2020-03-15,3,0,3.0,3.0,3.0,3.0,3.0,3.0
96,2020-03-15,2020-03-15,31,0,31.0,31.0,31.0,31.0,31.0,31.0
97,2020-03-15,2020-03-15,6,0,6.0,6.0,6.0,6.0,6.0,6.0
98,2020-03-16,2020-03-16,1,0,1.0,1.0,1.0,1.0,1.0,1.0
99,2020-03-16,2020-03-16,11,0,11.0,11.0,11.0,11.0,11.0,11.0
100,2020-03-16,2020-03-16,2,0,2.0,2.0,2.0,2.0,2.0,2.0
101,2020-03-16,2020-03-16,7,0,7.0,7.0,7.0,7.0,7.0,7.0
102,2020-03-16,2020-03-16,1,0,1.0,1.0,1.0,1.0,1.0,1.0
103,2020-03-16,2020-03-16,83,0,83.0,83.0,83.0,83.0,83.0,83.0
104,2020-03-16,2020-03-16,36,0,36.0,36.0,36.0,36.0,36.0,36.0
105,2020-03-16,2020-03-16,5,0,5.0,5.0,5.0,5.0,5.0,5.0
106,2020-03-16,2020-03-16,42,0,42.0,42.0,42.0,42.0,42.0,42.0
108,2020-03-16,2020-03-16,8,0,8.0,8.0,8.0,8.0,8.0,8.0
109,2020-03-17,2020-03-17,2,0,2.0,2.0,2.0,2.0,2.0,2.0
110,2020-03-17,2020-03-17,14,0,14.0,14.0,14.0,14.0,14.0,14.0
111,2020-03-17,2020-03-17,5,0,5.0,5.0,5.0,5.0,5.0,5.0
112,2020-03-17,2020-03-17,8,0,8.0,8.0,8.0,8.0,8.0,8.0
113,2020-03-17,2020-03-17,1,0,1.0,1.0,1.0,1.0,1.0,1.0
114,2020-03-17,2020-03-17,89,0,89.0,89.0,89.0,89.0,89.0,89.0
115,2020-03-17,2020-03-17,43,0,43.0,43.0,43.0,43.0,43.0,43.0
116,2020-03-17,2020-03-17,5,0,5.0,5.0,5.0,5.0,5.0,5.0
117,2020-03-17,2020-03-17,42,0,42.0,42.0,42.0,42.0,42.0,42.0
119,2020-03-17,2020-03-17,8,0,8.0,8.0,8.0,8.0,8.0,8.0
